"","Time","Zone","Region_Name","Aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"190","Modern","Kootenay North","ESSFwmw","warm",70,26,3,0,168,78,135,147
"191","Modern","Kootenay North","ICHmk5","cool",119,74,7,0,495,432,540,540
"192","Modern","Kootenay North","ICHmk5","warm",119,23,7,0,495,63,540,675
"193","Modern","Kootenay North","IDFdm2","cool",5,3,3,3,6,3,NA,NA
"194","Modern","Kootenay North","IDFdm2","warm",5,3,3,3,6,3,NA,NA
"195","Modern","Kootenay North","IMAun","cool",19,15,0,0,177,146,176,193
"196","Modern","Kootenay North","IMAun","warm",19,4,0,0,177,31,176,63
"197","Modern","Kootenay North","MSdk","cool",292,258,0,0,7633,7523,324,300
"198","Modern","Kootenay North","MSdk","warm",292,10,0,0,7633,118,324,1157
"199","Modern","Kootenay North","MSdw","cool",88,52,0,0,272,268,810,736
"200","Modern","Kootenay North","MSdw","warm",88,1,0,0,272,5,810,4050
"201","Modern","Kootenay South","ESSFdk1","cool",191,123,0,0,3393,3293,352,368
"202","Modern","Kootenay South","ESSFdk1","warm",191,68,0,0,3393,1620,352,300
"203","Modern","Kootenay South","ESSFdk2","cool",81,40,0,0,375,335,476,476
"204","Modern","Kootenay South","ESSFdk2","warm",81,25,0,0,375,120,476,450
"205","Modern","Kootenay South","ESSFdkp","cool",7,7,0,0,33,33,4050,4050
"206","Modern","Kootenay South","ESSFdkw","cool",58,30,0,0,341,339,1012,1012
"207","Modern","Kootenay South","ESSFdkw","warm",58,22,0,0,341,96,1012,810
"208","Modern","Kootenay South","ESSFwh2","cool",121,67,0,0,1515,1167,368,368
"209","Modern","Kootenay South","ESSFwh2","warm",121,34,0,0,1515,340,368,352
"210","Modern","Kootenay South","ESSFwm1","cool",73,40,6,0,434,267,540,579
"211","Modern","Kootenay South","ESSFwm1","warm",73,17,6,0,434,155,540,476
"212","Modern","Kootenay South","ESSFwm2","cool",130,64,0,0,2760,2039,476,450
"213","Modern","Kootenay South","ESSFwm2","warm",130,33,0,0,2760,702,476,476
"214","Modern","Kootenay South","ESSFwm4","cool",202,80,0,0,6075,3734,300,300
"215","Modern","Kootenay South","ESSFwm4","warm",202,79,0,0,6075,2253,300,289
"216","Modern","Kootenay South","ESSFwmp","cool",25,20,0,0,211,210,1620,1620
"217","Modern","Kootenay South","ESSFwmp","warm",25,2,0,0,211,15,1620,1350
"218","Modern","Kootenay South","ESSFwmw","cool",53,21,0,0,1040,685,736,810
"219","Modern","Kootenay South","ESSFwmw","warm",53,23,0,0,1040,348,736,736
"220","Modern","Kootenay South","ICHdm","cool",113,103,0,0,1643,1587,405,405
"221","Modern","Kootenay South","ICHdm","warm",113,5,0,0,1643,83,405,352
"222","Modern","Kootenay South","ICHdw1","cool",103,101,0,0,703,700,1157,1012
"223","Modern","Kootenay South","ICHdw1","warm",103,4,0,0,703,12,1157,2700
"224","Modern","Kootenay South","ICHmk4","cool",162,52,1,0,480,282,324,386
"225","Modern","Kootenay South","ICHmk4","warm",162,81,1,0,480,233,324,279
"226","Modern","Kootenay South","ICHmw2","cool",1,1,0,0,2,2,NA,NA
"227","Modern","Kootenay South","ICHxw","cool",5,5,3,3,7,7,8100,8100
"228","Modern","Kootenay South","IDFdm2","cool",55,28,0,0,1189,505,2025,2700
"229","Modern","Kootenay South","IDFdm2","warm",55,27,0,0,1189,1061,2025,1157
"230","Modern","Kootenay South","IDFxk","cool",8,1,4,1,12,2,81,81
"231","Modern","Kootenay South","IDFxk","warm",8,7,4,4,12,10,81,81
"232","Modern","Kootenay South","IDFxx2","cool",31,22,0,0,455,413,900,900
"233","Modern","Kootenay South","IDFxx2","warm",31,7,0,0,455,69,900,736
"234","Modern","Kootenay South","MSdk","cool",28,12,17,0,39,32,1620,1350
"235","Modern","Kootenay South","MSdk","warm",28,4,17,2,39,6,1620,2025
"236","Modern","Kootenay South","MSdw","cool",165,123,0,0,5446,5216,405,405
"237","Modern","Kootenay South","MSdw","warm",165,21,0,0,5446,290,405,476
"238","Modern","Kootenay South","ESSFdkp","warm",7,NA,0,NA,33,NA,4050,NA
"239","Modern","Kootenay South","ICHmw2","warm",1,NA,0,NA,2,NA,NA,NA
"240","Modern","Kootenay South","ICHxw","warm",5,NA,3,NA,7,NA,8100,NA
"241","Modern","Kootenay South","IMAun","cool",NA,NA,NA,NA,NA,NA,NA,NA
"242","Modern","Kootenay South","IMAun","warm",NA,NA,NA,NA,NA,NA,NA,NA
"243","Modern","Purcell","ESSFdk1","cool",414,47,1,0,1355,231,231,352
"244","Modern","Purcell","ESSFdk1","warm",414,356,1,1,1355,1102,231,213
"245","Modern","Purcell","ESSFdk2","cool",122,38,0,0,1002,342,1350,1350
"246","Modern","Purcell","ESSFdk2","warm",122,93,0,0,1002,736,1350,1350
"247","Modern","Purcell","ESSFdkp","cool",18,17,0,0,96,88,4050,4050
"248","Modern","Purcell","ESSFdkp","warm",18,2,0,0,96,4,4050,4050
"249","Modern","Purcell","ESSFdkw","cool",45,39,0,0,467,300,2700,2700
"250","Modern","Purcell","ESSFdkw","warm",45,4,0,0,467,17,2700,4050
"251","Modern","Purcell","ESSFmm3","cool",110,77,0,0,622,516,1620,1350
"252","Modern","Purcell","ESSFmm3","warm",110,30,0,2,622,124,1620,1620
"253","Modern","Purcell","ESSFmmp","cool",26,16,0,0,69,69,8100,4050
"254","Modern","Purcell","ESSFmmp","warm",26,25,0,25,69,25,8100,8100
"255","Modern","Purcell","ESSFmmw","cool",66,43,3,0,166,163,4050,4050
"256","Modern","Purcell","ESSFmmw","warm",66,13,3,1,166,23,4050,4050
"257","Modern","Purcell","ESSFwh2","cool",25,16,0,0,89,88,1620,1620
"258","Modern","Purcell","ESSFwh2","warm",25,8,0,0,89,60,1620,1620
"259","Modern","Purcell","ESSFwm2","cool",55,26,0,0,208,119,2025,2025
"260","Modern","Purcell","ESSFwm2","warm",55,23,0,0,208,104,2025,2025
"261","Modern","Purcell","ESSFwmp","cool",12,12,0,0,29,28,8100,8100
"262","Modern","Purcell","ESSFwmp","warm",12,0,0,0,29,0,8100,NA
