"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"127","RCP4.5","Kootenay North","MSdk",8e+08,0.02,0.02,0.02,0.02
"128","RCP4.5","Kootenay North","ESSFwmw",8e+06,0.005,0.005,0.005,0.005
"129","RCP4.5","Kootenay North","ESSFdk2",1e+09,0.008,0.008,0.008,0.008
"130","RCP4.5","Kootenay North","ESSFwmp",6e+06,0.004,0.004,0.004,0.004
"131","RCP4.5","Kootenay North","ESSFdk1",5e+07,0.009,0.009,0.009,0.009
"132","RCP4.5","Kootenay North","MSdw",5e+07,0.02,0.02,0.02,0.02
"133","RCP4.5","Kootenay North","IDFdm2",7e+07,0.05,0.05,0.05,0.05
"134","RCP4.5","Kootenay North","ICHmk5",1e+08,0.02,0.02,0.02,0.02
"135","RCP4.5","Elk","ESSFdkp",6e+07,0.005,0.005,0.005,0.005
"136","RCP4.5","Elk","ESSFdkw",5e+08,0.006,0.006,0.006,0.006
"137","RCP4.5","Elk","IMAun",7e+05,0.003,0.003,0.003,0.003
"138","RCP4.5","Elk","ESSFwmp",9e+06,0.004,0.004,0.004,0.004
"139","RCP4.5","Elk","ESSFwmw",2e+08,0.005,0.005,0.005,0.005
"140","RCP4.5","Elk","MSdk",3e+08,0.02,0.02,0.02,0.02
"141","RCP4.5","Elk","ICHmk4",6e+08,0.009,0.009,0.009,0.009
"142","RCP4.5","Elk","ESSFdk1",1e+09,0.009,0.009,0.009,0.009
"143","RCP4.5","Elk","ESSFwm1",5e+08,0.007,0.007,0.007,0.007
"144","RCP4.5","Elk","ESSFdk2",5e+08,0.008,0.008,0.008,0.008
"145","RCP4.5","Elk","ICHdm",4e+07,0.01,0.01,0.01,0.01
"146","RCP4.5","Elk","MSdw",9e+08,0.02,0.02,0.02,0.02
"147","RCP4.5","Elk","IDFdm2",7e+06,0.05,0.05,0.05,0.05
"148","RCP4.5","Columbia","IMAun",2e+05,0.003,0.003,0.003,0.003
"149","RCP4.5","Columbia","MSdk",8e+08,0.02,0.02,0.02,0.02
"150","RCP4.5","Columbia","ESSFdkw",1e+08,0.006,0.006,0.006,0.006
"151","RCP4.5","Columbia","MSdw",3e+07,0.02,0.02,0.02,0.02
"152","RCP4.5","Columbia","ESSFdk1",5e+06,0.009,0.009,0.009,0.009
"153","RCP4.5","Columbia","IDFdm2",6e+07,0.05,0.05,0.05,0.05
"154","RCP4.5","Columbia","ICHmk5",2e+08,0.02,0.02,0.02,0.02
"155","RCP4.5","Columbia","ESSFmmw",3e+06,0.002,0.002,0.002,0.002
"156","RCP4.5","Columbia","ESSFdkp",2e+07,0.005,0.005,0.005,0.005
"157","RCP4.5","Columbia","ESSFdk2",4e+08,0.007,0.008,0.008,0.008
"158","RCP4.5","Columbia","ESSFmm3",6e+06,0.004,0.004,0.004,0.004
"159","RCP4.5","Columbia","IDFxk",2e+08,0.05,0.05,0.05,0.05
"160","RCP4.5","Columbia","IDFdk5",5e+08,0.04,0.04,0.04,0.04
"161","RCP4.5","Columbia","ICHmw1",1e+07,0.01,0.01,0.01,0.01
"162","RCP4.5","Columbia","ESSFmmp",3e+06,0.002,0.002,0.002,0.002
"163","RCP8.5","Purcell","ICHmw2",3e+07,0.004,0.004,0.004,0.004
"164","RCP8.5","Purcell","IMAun",1e+07,0.003,0.004,0.003,0.003
"165","RCP8.5","Purcell","ESSFwmp",9e+07,0.004,0.004,0.004,0.004
"166","RCP8.5","Purcell","ESSFdkp",1e+08,0.005,0.006,0.006,0.006
"167","RCP8.5","Purcell","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"168","RCP8.5","Purcell","ESSFwm2",3e+08,0.004,0.004,0.004,0.004
"169","RCP8.5","Purcell","ESSFwmw",2e+08,0.004,0.006,0.006,0.006
"170","RCP8.5","Purcell","MSdk",4e+08,0.02,0.02,0.02,0.02
"171","RCP8.5","Purcell","ESSFdkw",4e+08,0.006,0.007,0.007,0.007
"172","RCP8.5","Purcell","MSdw",1e+08,0.02,0.02,0.02,0.02
"173","RCP8.5","Purcell","ESSFdk1",1e+08,0.01,0.01,0.01,0.01
"174","RCP8.5","Purcell","ICHdm",6e+07,0.02,0.02,0.02,0.02
"175","RCP8.5","Purcell","IDFdm2",8e+07,0.06,0.06,0.06,0.06
"176","RCP8.5","Purcell","ICHmk5",5e+07,0.02,0.02,0.02,0.02
"177","RCP8.5","Purcell","ESSFmmw",2e+08,0.003,0.003,0.003,0.003
"178","RCP8.5","Purcell","ESSFdk2",8e+08,0.009,0.009,0.009,0.009
"179","RCP8.5","Purcell","ESSFmm3",4e+08,0.004,0.004,0.004,0.004
"180","RCP8.5","Purcell","IDFxk",3e+05,0.05,0.05,0.05,0.05
"181","RCP8.5","Purcell","IDFdk5",8e+07,0.04,0.04,0.04,0.04
"182","RCP8.5","Purcell","ESSFmmp",7e+07,0.002,0.002,0.002,0.002
"183","RCP8.5","Kootenay South","ICHdm",1e+09,0.02,0.02,0.02,0.02
"184","RCP8.5","Kootenay South","ESSFwmw",4e+08,0.006,0.006,0.006,0.006
"185","RCP8.5","Kootenay South","ESSFwm4",1e+09,0.01,0.01,0.01,0.01
"186","RCP8.5","Kootenay South","ESSFwmp",1e+08,0.004,0.004,0.004,0.004
"187","RCP8.5","Kootenay South","ESSFdkp",5e+07,0.005,0.006,0.006,0.006
"188","RCP8.5","Kootenay South","ESSFdkw",3e+08,0.006,0.01,0.007,0.007
"189","RCP8.5","Kootenay South","IMAun",3e+06,0.003,0.004,0.003,0.003
"190","RCP8.5","Kootenay South","MSdk",1e+07,0.02,0.02,0.02,0.02
