OID_,FID_BEC_PEM_Elk,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Elk,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
31,20,15,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,2,cool,ESSFwmpcool,173,N20609,0.000000000000000,1970,Person,1970-N20609,1357.099999999999909,mylars, ,20070517130630,19700823,digitised,JA70003000,0.000000000000000,1769570.000000000000000,13571891.510399999096990,18659.428100000000995,1669.653444925928397,20578.674892017497768,2.057867489201750
32,22,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,2,cool,MSdkcool,104,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,880.342369925735056,15898.933197402153382,1.589893319740215
33,22,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,2,cool,MSdkcool,136,408207020,0.000000000000000,1940,Person,1940-408207020,158.800000000000011,mylars, ,20070517130640,20070516,digitised,JA70003000,0.000000000000000,1764577.000000000000000,1588341.302900000009686,7106.479500000000371,4342.605875065545661,172477.103058086504461,17.247710305808653
34,22,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,2,cool,MSdkcool,144,38,0.000000000000000,1949,Person,1949-38,81.299999999999997,linens, ,20070517130603,19490514,digitised,JA70003000,0.000000000000000,1766279.000000000000000,813137.766599999973550,5988.225900000000365,48.050289674181208,58.553625378449830,0.005855362537845
35,22,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,2,cool,MSdkcool,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,14563.598493440926177,1216306.287561069242656,121.630628756106930
36,23,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,5,cool,MSdkcool,136,408207020,0.000000000000000,1940,Person,1940-408207020,158.800000000000011,mylars, ,20070517130640,20070516,digitised,JA70003000,0.000000000000000,1764577.000000000000000,1588341.302900000009686,7106.479500000000371,905.087553292592247,3350.851745632855454,0.335085174563286
37,23,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,5,cool,MSdkcool,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,611.604765583843573,5643.134085757936191,0.564313408575794
38,24,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,6,warm,MSdkwarm,104,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,1.479951841772080,0.100588105083673,0.000010058810508
39,24,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,6,warm,MSdkwarm,136,408207020,0.000000000000000,1940,Person,1940-408207020,158.800000000000011,mylars, ,20070517130640,20070516,digitised,JA70003000,0.000000000000000,1764577.000000000000000,1588341.302900000009686,7106.479500000000371,2200.264396173710338,50320.260242378200928,5.032026024237821
40,24,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,6,warm,MSdkwarm,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,7648.073208119912124,132048.002206808538176,13.204800220680854
