OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
40,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,277500.000000000000000,4000.000000000000000,277500.000000000000000,4000.000000000000000,5122587.000000000000000,4375.370061830006307,234791.784277981321793,23.479178427798132
41,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1230000.000000000000000,7600.000000000000000,1230000.000000000000000,7600.000000000000000,5117552.000000000000000,10244.285041120321694,1148481.647420168155804,114.848164742016820
42,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,24568660.938400000333786,181720.124799999990501,24568661.000000000000000,181720.000000000000000,5117776.000000000000000,235349.721126015792834,14388336.847511956468225,1438.833684751195733
43,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,23482429.928700000047684,175973.145799999998417,23482430.000000000000000,175973.000000000000000,5117575.000000000000000,99895.932240880152676,3217738.481462269555777,321.773848146226953
44,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1567500.000000000000000,11000.000000000000000,1567500.000000000000000,11000.000000000000000,5117574.000000000000000,14224.147153620271638,524930.647326720762067,52.493064732672082
45,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,7084375.787499999627471,16897.413499999998749,7084376.000000000000000,16897.000000000000000,5125156.000000000000000,17731.279066750172206,7040751.535241364501417,704.075153524136454
46,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,23946472.437399998307228,167346.304100000008475,23946472.000000000000000,167346.000000000000000,5117781.000000000000000,230062.068568513612263,14005756.329873545095325,1400.575632987354538
47,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,195000.000000000000000,3300.000000000000000,195000.000000000000000,3300.000000000000000,5117580.000000000000000,3470.571388274820038,187956.991050899901893,18.795699105089991
48,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,124013514.821999996900558,732746.121500000008382,124013515.000000000000000,732746.000000000000000,5117766.000000000000000,985727.899329358479008,87414185.417227327823639,8741.418541722732698
49,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,99264382.820899993181229,640718.297499999986030,99264383.000000000000000,640718.000000000000000,5117551.000000000000000,535913.316619042074308,27095616.334418945014477,2709.561633441894628
50,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,158389152.311399996280670,394057.664300000004005,158389152.000000000000000,394058.000000000000000,5117376.000000000000000,737074.863121656817384,137267114.058985859155655,13726.711405898586236
51,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,268504707.642499983310699,438054.447700000018813,268504708.000000000000000,438054.000000000000000,5125155.000000000000000,895346.188921826891601,234530408.287001401185989,23453.040828700140992
52,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,3412495.549999999813735,26699.614300000001094,3412496.000000000000000,26700.000000000000000,5122226.000000000000000,25.908792832971212,33.020841481445657,0.003302084148145
53,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,146399768.527200013399124,407387.952500000013970,146399769.000000000000000,407388.000000000000000,5117378.000000000000000,879336.143345711636357,108456871.414511948823929,10845.687141451195203
54,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,61125925.486299999058247,422118.602499999979045,61125925.000000000000000,422119.000000000000000,5117771.000000000000000,560062.210821455577388,33587408.087769880890846,3358.740808776988160
55,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,71854510.591700002551079,539940.839299999992363,71854511.000000000000000,539941.000000000000000,5117566.000000000000000,313359.692671962489840,11758396.133200293406844,1175.839613320029457
56,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1925000.022099999943748,14799.893099999999322,1925000.000000000000000,14800.000000000000000,5122233.000000000000000,32.185175167425122,45.565424425703092,0.004556542442570
57,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,325000.000000000000000,3300.000000000000000,325000.000000000000000,3300.000000000000000,5117540.000000000000000,5461.829043817392630,174779.257868922955822,17.477925786892296
58,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1485000.000000000000000,8500.000000000000000,1485000.000000000000000,8500.000000000000000,5117548.000000000000000,14057.192144143627957,1114113.387292176252231,111.411338729217633
59,435.000000000000000,ESSF,wcw, , ,NDT1,ESSFwcw,ESSFwcw,Engelmann Spruce -- Subalpine Fir,Wet Cold Woodland, , ,Ecosystems with rare stand-initiating events,174078047.663800001144409,1139507.916600000113249,174078048.000000000000000,1139508.000000000000000,5120432.000000000000000,1414.989579709060308,2.049816827690331,0.000204981682769
60,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,37340483.702399998903275,92975.044099999999162,37340484.000000000000000,92975.000000000000000,5122472.000000000000000,261.882176584099739,0.292657942104401,0.000029265794210
61,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,5262500.000000000000000,25200.000000000000000,5262500.000000000000000,25200.000000000000000,5122488.000000000000000,944.508206215259179,6727.242433113975494,0.672724243311398
62,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,126509337.366699993610382,250563.901699999987613,126509337.000000000000000,250564.000000000000000,5122454.000000000000000,1011.917943600644321,6231.714273032545861,0.623171427303255
63,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,102500.000000000000000,2100.000000000000000,102500.000000000000000,2100.000000000000000,5122462.000000000000000,118.160914405749310,754.421985196560513,0.075442198519656
64,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1542500.000000000000000,14000.000000000000000,1542500.000000000000000,14000.000000000000000,5122446.000000000000000,3513.576005276487194,61306.934535908156249,6.130693453590816
65,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,5967499.933100000023842,35199.993999999998778,5967500.000000000000000,35200.000000000000000,5122512.000000000000000,209.080322795944312,1082.912934846861845,0.108291293484686
66,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,47104999.774999998509884,148299.688599999994040,47105000.000000000000000,148300.000000000000000,5122498.000000000000000,12008.458307583612623,301423.096595080744009,30.142309659508076
67,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,20873933.431200001388788,113806.471399999994901,20873933.000000000000000,113806.000000000000000,5118260.000000000000000,98754.786473119194852,7998691.221793673001230,799.869122179367309
68,435.000000000000000,ESSF,mm,3, ,NDT2,ESSFmm3,ESSFmm 3,Engelmann Spruce -- Subalpine Fir,Moist Mild,Spillimacheen, ,Ecosystems with infrequent stand-initiating events,33695553.502099998295307,52541.667699999998149,33695554.000000000000000,52542.000000000000000,5118167.000000000000000,106680.737278795335442,24182754.739464346319437,2418.275473946434886
69,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,3903121.219399999827147,15363.145399999999427,3903121.000000000000000,15363.000000000000000,5122352.000000000000000,4191.551498085754247,6.413502787179731,0.000641350278718
70,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,90663324.988199993968010,148070.347700000012992,90663325.000000000000000,148070.000000000000000,5121533.000000000000000,210263.221612281835405,45805930.754238151013851,4580.593075423815208
71,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,4810512.183400000445545,31743.184199999999691,4810512.000000000000000,31743.000000000000000,5122382.000000000000000,1359.907752796683326,2.688886656406837,0.000268888665641
