OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
48,27,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,15479126.860700000077486,53148.293700000001991,15479127.000000000000000,53148.000000000000000,5117337.000000000000000,5,cool,ESSFdk1cool,1985.548000253707869,19933.130200815892749
49,27,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,15479126.860700000077486,53148.293700000001991,15479127.000000000000000,53148.000000000000000,5117337.000000000000000,6,warm,ESSFdk1warm,83119.614902016139240,1519909.546138818608597
50,28,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6185000.000000000000000,34600.000000000000000,6185000.000000000000000,34600.000000000000000,5117726.000000000000000,2,cool,ESSFdkwcool,59789.779775585091556,4212366.203076948411763
51,28,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6185000.000000000000000,34600.000000000000000,6185000.000000000000000,34600.000000000000000,5117726.000000000000000,5,cool,ESSFdkwcool,4036.872707106275811,68979.637061154411640
52,28,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6185000.000000000000000,34600.000000000000000,6185000.000000000000000,34600.000000000000000,5117726.000000000000000,6,warm,ESSFdkwwarm,44361.500323598636896,1902006.972908234456554
53,29,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,457500.000000000000000,4900.000000000000000,457500.000000000000000,4900.000000000000000,5117477.000000000000000,2,cool,ESSFdkpcool,4943.969980161919011,453199.480861675867345
54,29,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,457500.000000000000000,4900.000000000000000,457500.000000000000000,4900.000000000000000,5117477.000000000000000,6,warm,ESSFdkpwarm,1224.079676381997388,4177.671503199201652
55,30,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,435000.000000000000000,5000.000000000000000,435000.000000000000000,5000.000000000000000,5117468.000000000000000,2,cool,ESSFdkpcool,5011.991211355966698,431286.706307319458574
56,30,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,435000.000000000000000,5000.000000000000000,435000.000000000000000,5000.000000000000000,5117468.000000000000000,6,warm,ESSFdkpwarm,1142.312061714437050,3598.102789085083259
57,31,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,962996.789499999955297,5943.943400000000111,962997.000000000000000,5944.000000000000000,5117722.000000000000000,2,cool,ESSFdkwcool,7120.393110506240191,895668.784654094488360
58,31,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,962996.789499999955297,5943.943400000000111,962997.000000000000000,5944.000000000000000,5117722.000000000000000,6,warm,ESSFdkwwarm,2207.181918739327557,67069.809030480857473
59,32,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,302003.426299999991897,3084.809699999999793,302003.000000000000000,3085.000000000000000,5121030.000000000000000,2,cool,ESSFwmwcool,3528.953185241364736,296440.308531389804557
60,32,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,302003.426299999991897,3084.809699999999793,302003.000000000000000,3085.000000000000000,5121030.000000000000000,6,warm,ESSFwmwwarm,1072.825928928514486,5482.323920953624111
61,33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,2,cool,ESSFdkwcool,47847.561955944584042,3814066.161943372804672
62,33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,5,cool,ESSFdkwcool,777.823545896459905,5984.769879233822394
63,33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,6,warm,ESSFdkwwarm,24983.270399110057042,619128.174111369880848
64,34,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1997500.000000000000000,12400.000000000000000,1997500.000000000000000,12400.000000000000000,5117488.000000000000000,2,cool,ESSFdkpcool,12398.923731529803263,1996653.946114387828857
65,34,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1997500.000000000000000,12400.000000000000000,1997500.000000000000000,12400.000000000000000,5117488.000000000000000,6,warm,ESSFdkpwarm,341.449909373622859,471.378451169434470
66,35,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,2,cool,ESSFdkwcool,180557.654634254344273,12241952.738768454641104
67,35,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,5,cool,ESSFdkwcool,4199.594737786957012,46230.377555363054853
68,35,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,6,warm,ESSFdkwwarm,104728.173375490863691,2949260.117476538755000
