OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
52,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,6,warm,ESSFdkwwarm,144758.009379550465383,1765948.730037419823930,176.594873003741981
53,237,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,532768186.968100011348724,573335.544200000003912,532768187.000000000000000,573336.000000000000000,5125222.000000000000000,3,cool,MSdwcool,291819.052092026104219,69380857.291339457035065,6938.085729133946188
54,237,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,532768186.968100011348724,573335.544200000003912,532768187.000000000000000,573336.000000000000000,5125222.000000000000000,5,cool,MSdwcool,2734.089075918579056,39668.789152117496997,3.966878915211750
55,237,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,532768186.968100011348724,573335.544200000003912,532768187.000000000000000,573336.000000000000000,5125222.000000000000000,6,warm,MSdwwarm,112483.321897185058333,2501913.044066552538425,250.191304406655263
56,237,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,532768186.968100011348724,573335.544200000003912,532768187.000000000000000,573336.000000000000000,5125222.000000000000000,7,warm,MSdwwarm,44851.297590557784133,1085136.376996257808059,108.513637699625789
57,238,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4042027.335099999792874,30864.202000000001135,4042027.000000000000000,30864.000000000000000,5120910.000000000000000,1,cool,ESSFwmpcool,39710.993299050212954,3441288.020611954852939,344.128802061195529
58,238,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4042027.335099999792874,30864.202000000001135,4042027.000000000000000,30864.000000000000000,5120910.000000000000000,5,cool,ESSFwmpcool,28.931231546440650,18.197691125615059,0.001819769112562
59,238,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4042027.335099999792874,30864.202000000001135,4042027.000000000000000,30864.000000000000000,5120910.000000000000000,6,warm,ESSFwmpwarm,4852.647533127749739,13177.955259092974302,1.317795525909297
60,239,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,389505586.205399990081787,734274.464599999948405,389505586.000000000000000,734274.000000000000000,5117345.000000000000000,1,cool,ESSFdk1cool,172122.530689392879140,10639727.443115733563900,1063.972744311573479
61,239,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,389505586.205399990081787,734274.464599999948405,389505586.000000000000000,734274.000000000000000,5117345.000000000000000,5,cool,ESSFdk1cool,12537.344383096253296,237437.064599509001710,23.743706459950900
62,239,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,389505586.205399990081787,734274.464599999948405,389505586.000000000000000,734274.000000000000000,5117345.000000000000000,6,warm,ESSFdk1warm,164309.344663184077945,12573227.469004726037383,1257.322746900472566
63,240,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,26612895.131299998611212,152497.304000000003725,26612895.000000000000000,152497.000000000000000,5120896.000000000000000,1,cool,ESSFwmpcool,23595.434092578052514,1387507.598980975570157,138.750759898097556
64,240,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,26612895.131299998611212,152497.304000000003725,26612895.000000000000000,152497.000000000000000,5120896.000000000000000,6,warm,ESSFwmpwarm,586.400534806200199,1875.408755906378246,0.187540875590638
65,244,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,31129405.361299999058247,54223.320699999996577,31129405.000000000000000,54223.000000000000000,5117357.000000000000000,5,cool,ESSFdk1cool,130338.722491199325304,2671397.593514924868941,267.139759351492501
66,244,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,31129405.361299999058247,54223.320699999996577,31129405.000000000000000,54223.000000000000000,5117357.000000000000000,6,warm,ESSFdk1warm,128710.488969107289449,27506400.454302884638309,2750.640045430288410
67,245,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,3767500.000000000000000,20200.000000000000000,3767500.000000000000000,20200.000000000000000,5117747.000000000000000,5,cool,ESSFdkwcool,21982.067941873167001,3435621.695672000292689,343.562169567200044
68,245,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,3767500.000000000000000,20200.000000000000000,3767500.000000000000000,20200.000000000000000,5117747.000000000000000,6,warm,ESSFdkwwarm,15884.430295797730651,298153.814354036585428,29.815381435403658
69,293,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,60702490.125000000000000,389099.529399999999441,60702490.000000000000000,389100.000000000000000,5121017.000000000000000,1,cool,ESSFwmwcool,5375.632827948050362,227803.940335518476786,22.780394033551850
70,293,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,60702490.125000000000000,389099.529399999999441,60702490.000000000000000,389100.000000000000000,5121017.000000000000000,5,cool,ESSFwmwcool,2427.376497554912930,55598.203234691354737,5.559820323469136
71,293,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,60702490.125000000000000,389099.529399999999441,60702490.000000000000000,389100.000000000000000,5121017.000000000000000,6,warm,ESSFwmwwarm,8078.787843485117264,273243.399895281472709,27.324339989528148
72,294,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,330000.000000000000000,3100.000000000000000,330000.000000000000000,3100.000000000000000,5121977.000000000000000,1,cool,IMAuncool,4984.680430632615753,270059.279657570878044,27.005927965757088
