OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
31,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,16738.312181845867599,1347146.689476682106033,134.714668947668230
32,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,1193,N20665,2008092301.000000000000000,2008,Lightning,2008-N20665,18.199999999999999,OZIX,20080923094314,20080923094314,20080817,GPS-TRACK,JA70003000,0.000000000000000,1774486.000000000000000,183149.784799999993993,2813.196500000000015,486.618180419641760,8091.091138937232245,0.809109113893723
33,118,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,14178372.217399999499321,92750.120999999999185,14178372.000000000000000,92750.000000000000000,5122053.000000000000000,292,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,11777.002069816695439,791399.252199404058047,79.139925219940409
34,126,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,11610665.686300000175834,41349.617400000002817,11610666.000000000000000,41350.000000000000000,5117344.000000000000000,178,136,0.000000000000000,1924,Person,1924-136,672.000000000000000,linens, ,20070517130621,19240713,digitised,JA70003000,0.000000000000000,1757955.000000000000000,6720397.355200000107288,12566.270800000000236,9241.343726630248057,1622012.212920577265322,162.201221292057738
35,126,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,11610665.686300000175834,41349.617400000002817,11610666.000000000000000,41350.000000000000000,5117344.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,21218.181359693764534,6122422.088286963291466,612.242208828696334
36,128,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1245000.000000000000000,12200.000000000000000,1245000.000000000000000,12200.000000000000000,5122077.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,5698.697044031285259,280756.222832414612640,28.075622283241461
37,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,72,70,0.000000000000000,1920,Person,1920-70,286.600000000000023,linens, ,20070517130618,19200823,digitised,JA70003000,0.000000000000000,1756583.000000000000000,2866848.603999999817461,7060.856300000000374,2995.853562849919399,228290.524317739473190,22.829052431773949
38,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,178,136,0.000000000000000,1924,Person,1924-136,672.000000000000000,linens, ,20070517130621,19240713,digitised,JA70003000,0.000000000000000,1757955.000000000000000,6720397.355200000107288,12566.270800000000236,9287.132503046936108,1683136.036067664856091,168.313603606766492
39,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,248,816,0.000000000000000,1925,Lightning,1925-816,297.300000000000011,linens, ,20070517130618,19250810,digitised,JA70003000,0.000000000000000,1759057.000000000000000,2973351.543200000189245,7566.522100000000137,7564.663690345485520,2971673.042722445446998,297.167304272244564
40,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,292,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,16539.319716133653856,1980509.808754352154210,198.050980875435215
41,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,318,814,0.000000000000000,1929,Person,1929-814,64.099999999999994,linens, ,20070517130621,19290823,digitised,JA70003000,0.000000000000000,1760224.000000000000000,641094.099000000045635,3528.895599999999831,3439.990397734629823,625722.722269113524817,62.572272226911359
42,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,385,514,0.000000000000000,1931,Person,1931-514,143.400000000000006,linens, ,20070517130602,19310728,digitised,JA70003000,0.000000000000000,1761140.000000000000000,1434577.447900000028312,5470.139100000000326,4562.338657057082855,860083.523734770948067,86.008352373477095
43,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,404,805,0.000000000000000,1931,Person,1931-805,2042.500000000000000,linens, ,20070517130602,19310821,digitised,JA70003000,0.000000000000000,1761315.000000000000000,20425312.858699999749660,25132.580900000000838,13435.636288440045973,1976011.351327470270917,197.601135132747032
44,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,634,532,0.000000000000000,1936,Person,1936-532,2.300000000000000,linens, ,20070517130602,19360831,digitised,JA70003000,0.000000000000000,1763119.000000000000000,23396.758600000001024,692.659200000000055,692.491234975544444,23383.461135678920982,2.338346113567892
