OID_,FID_BEC_PEM_Kootenay_North,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Kootenay_North,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
31,36,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,6,warm,ESSFwmwwarm,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,18676.398228526697494,777148.999611948383972,77.714899961194845
32,39,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,2,cool,ESSFwmpcool,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,717.850217320446973,4439.195382191408498,0.443919538219141
33,39,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,2,cool,ESSFwmpcool,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,5713.052829264968750,434329.425046474323608,43.432942504647436
34,40,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,6,warm,ESSFwmpwarm,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,12.756049585500481,6.516363181443196,0.000651636318144
35,40,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,6,warm,ESSFwmpwarm,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,938.472826848125123,1488.055787741379163,0.148805578774138
36,41,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,2,cool,ESSFdk1cool,9,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,61911.730727051610302,2048783.332751517416909,204.878333275151761
37,41,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,2,cool,ESSFdk1cool,16,153b,0.000000000000000,1933,Person,1933-153b,114.500000000000000,linens, ,20070517130602,19330725,digitised,JA70003000,0.000000000000000,1761820.000000000000000,1145156.173200000077486,4520.664499999999862,3762.025664798805337,157413.257012862537522,15.741325701286254
38,42,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,5,cool,ESSFdk1cool,9,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,6890.880618686677735,102250.508273061699583,10.225050827306170
39,43,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,6,warm,ESSFdk1warm,9,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,68781.400073635973968,5901237.441937820985913,590.123744193782159
40,43,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,6,warm,ESSFdk1warm,16,153b,0.000000000000000,1933,Person,1933-153b,114.500000000000000,linens, ,20070517130602,19330725,digitised,JA70003000,0.000000000000000,1761820.000000000000000,1145156.173200000077486,4520.664499999999862,2276.069174576743535,31602.034829788906791,3.160203482978891
