OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
60,121,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,607500.000000000000000,5300.000000000000000,607500.000000000000000,5300.000000000000000,5117470.000000000000000,2,cool,ESSFdkpcool,5298.844346873743234,607193.962808651733212
61,122,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,17037169.232900001108646,45709.158199999998033,17037169.000000000000000,45709.000000000000000,5117362.000000000000000,2,cool,ESSFdk2cool,144166.119230325799435,7001333.313269162550569
62,122,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,17037169.232900001108646,45709.158199999998033,17037169.000000000000000,45709.000000000000000,5117362.000000000000000,5,cool,ESSFdk2cool,10947.520538297823805,268421.403979251277633
63,122,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,17037169.232900001108646,45709.158199999998033,17037169.000000000000000,45709.000000000000000,5117362.000000000000000,6,warm,ESSFdk2warm,158764.492057743220357,9758216.687729222700000
64,123,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,250000.000000000000000,3800.000000000000000,250000.000000000000000,3800.000000000000000,5117485.000000000000000,2,cool,ESSFdkpcool,3799.090140314768632,249875.750619979167823
65,124,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,1778805.549300000071526,10112.708199999999124,1778806.000000000000000,10113.000000000000000,5125149.000000000000000,2,cool,MSdkcool,10641.945813770449604,1763699.743296483764425
66,124,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,1778805.549300000071526,10112.708199999999124,1778806.000000000000000,10113.000000000000000,5125149.000000000000000,6,warm,MSdkwarm,5210.771450193359669,14124.879312220689826
67,125,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,245000.000000000000000,2900.000000000000000,245000.000000000000000,2900.000000000000000,5122063.000000000000000,2,cool,IMAuncool,2899.229296362501373,244868.847824162745383
68,126,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,11610665.686300000175834,41349.617400000002817,11610666.000000000000000,41350.000000000000000,5117344.000000000000000,2,cool,ESSFdk1cool,85415.259028815475176,2626693.413355119526386
69,126,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,11610665.686300000175834,41349.617400000002817,11610666.000000000000000,41350.000000000000000,5117344.000000000000000,5,cool,ESSFdk1cool,9895.688048032652659,204616.532392738852650
