OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
53,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,205000.000000000000000,2700.000000000000000,205000.000000000000000,2700.000000000000000,5117461.000000000000000,3180.728991990677059,172492.120007400866598,17.249212000740087
54,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,150000.000000000000000,3000.000000000000000,150000.000000000000000,3000.000000000000000,5117460.000000000000000,2984.229004372155941,149414.331505606300198,14.941433150560631
55,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,11282555.600999999791384,83345.916899999996531,11282556.000000000000000,83346.000000000000000,5120871.000000000000000,99381.667547189470497,3984809.268241310957819,398.480926824131132
56,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1270000.000000000000000,9200.000000000000000,1270000.000000000000000,9200.000000000000000,5121960.000000000000000,3644.341754276987103,61919.175752864677634,6.191917575286468
57,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,36125.401200000000244,1040.621799999999894,36125.000000000000000,1041.000000000000000,5117434.000000000000000,701.924999607500240,28882.233758227674116,2.888223375822768
58,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,25985994.397100001573563,151831.387599999987287,25985994.000000000000000,151831.000000000000000,5121019.000000000000000,198377.115485331305536,19248162.731215279549360,1924.816273121527956
59,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,707500.000000000000000,7600.000000000000000,707500.000000000000000,7600.000000000000000,5121964.000000000000000,2157.511847106588448,37040.247799819939246,3.704024779981994
60,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,965000.000000000000000,9500.000000000000000,965000.000000000000000,9500.000000000000000,5120869.000000000000000,7272.242415709783018,215309.040920213243226,21.530904092021327
61,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,138473.491700000013225,2393.686799999999948,138473.000000000000000,2394.000000000000000,5117426.000000000000000,3409.851293378951141,93008.032044945299276,9.300803204494530
62,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,993765.116599999950267,10403.466099999999642,993765.000000000000000,10403.000000000000000,5117427.000000000000000,11532.470884225444024,750685.711261784308590,75.068571126178441
63,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2672601.334700000006706,31096.377000000000407,2672601.000000000000000,31096.000000000000000,5117424.000000000000000,20739.650637550370448,676247.009703081916086,67.624700970308197
64,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2645000.500000000000000,18299.979999999999563,2645000.000000000000000,18300.000000000000000,5121938.000000000000000,969.760422008111050,13681.706219546154898,1.368170621954615
65,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,337500.000000000000000,3700.000000000000000,337500.000000000000000,3700.000000000000000,5121957.000000000000000,320.745678342098017,1851.182008138294805,0.185118200813829
