OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
233,1076,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,213479991.587000012397766,798872.186600000015460,213479992.000000000000000,798872.000000000000000,5117386.000000000000000,7,warm,ESSFdk2warm,5.878422433421823,0.022597666926542,0.000002259766693
234,1076,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,213479991.587000012397766,798872.186600000015460,213479992.000000000000000,798872.000000000000000,5117386.000000000000000,5,cool,ESSFdk2cool,65.727729297988589,0.271379735984805,0.000027137973598
235,1076,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,213479991.587000012397766,798872.186600000015460,213479992.000000000000000,798872.000000000000000,5117386.000000000000000,7,warm,ESSFdk2warm,65.727729297988589,0.271379735984805,0.000027137973598
236,1077,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3319881.166199999861419,30449.567200000001321,3319881.000000000000000,30450.000000000000000,5117611.000000000000000,3,cool,ESSFdkpcool,1.194406323016136,0.008954790087289,0.000000895479009
237,1077,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3319881.166199999861419,30449.567200000001321,3319881.000000000000000,30450.000000000000000,5117611.000000000000000,7,warm,ESSFdkpwarm,1.194406323016136,0.008954790087289,0.000000895479009
238,1078,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4620117.283800000324845,40408.781199999997625,4620117.000000000000000,40409.000000000000000,5118190.000000000000000,3,cool,ESSFmmpcool,17.907660765732217,0.019145521462403,0.000001914552146
239,1078,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4620117.283800000324845,40408.781199999997625,4620117.000000000000000,40409.000000000000000,5118190.000000000000000,7,warm,ESSFmmpwarm,17.907660765732217,0.019145521462403,0.000001914552146
240,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,3,cool,ESSFdkwcool,17.326809033619902,0.022438350093552,0.000002243835009
241,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,7,warm,ESSFdkwwarm,17.326809033619902,0.022438350093552,0.000002243835009
242,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,5,cool,ESSFdkwcool,211.443501374641585,2.128231520817508,0.000212823152082
243,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,7,warm,ESSFdkwwarm,211.443501374641585,2.128231520817508,0.000212823152082
244,1083,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,380384833.249199986457825,264552.210800000000745,380384833.000000000000000,264552.000000000000000,5125158.000000000000000,3,cool,MSdkcool,3665.380245950488188,16278.784323816493270,1.627878432381649
245,1083,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,380384833.249199986457825,264552.210800000000745,380384833.000000000000000,264552.000000000000000,5125158.000000000000000,7,warm,MSdkwarm,3665.380245950488188,16278.784323816493270,1.627878432381649
246,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,3,cool,ESSFdk2cool,542.529089565743220,2489.774389691293436,0.248977438969129
247,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,7,warm,ESSFdk2warm,542.529089565743220,2489.774389691293436,0.248977438969129
248,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,5,cool,ESSFdk2cool,48.148579606756833,0.035049968395581,0.000003504996840
249,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,7,warm,ESSFdk2warm,48.148579606756833,0.035049968395581,0.000003504996840
